ticker,name,tier,theme,price,currency,day_chg_pct,ytd_chg_pct,ret_1m_pct,ret_3m_pct,ret_1y_pct,high_52w,from_ath_pct,rsi,vol_ratio,ma20,ma50,ma200,momentum_score,entry_price,stop_price,target_price,earnings,retrieved_at
NVDA,エヌビディア,S,AI半導体王者,208.27,USD,4.32,10.29,21.62,11.7,87.66,208.27,0.0,86.7,1.41,188.38,185.02,182.83,23.79,197.86,184.01,237.43,-,2026-04-25 09:00:21
AVGO,ブロードコム,S,AI半導体2番手,422.76,USD,0.67,21.87,36.63,30.41,121.61,422.76,0.0,92.5,0.98,364.33,341.0,335.6,40.59,401.62,373.51,481.95,-,2026-04-25 09:00:21
META,メタ,S,AI広告独占,675.03,USD,2.41,3.87,23.28,0.48,23.73,788.15,-14.35,79.6,0.81,624.47,629.62,679.03,10.26,641.28,596.39,769.53,発表済,2026-04-25 09:00:21
ARM,ARM Holdings,S,CPUアーキ独占,234.81,USD,14.76,104.66,51.69,104.66,107.17,234.81,0.0,92.4,2.42,163.53,141.65,139.79,70.98,223.07,207.45,267.68,-,2026-04-25 09:00:21
AMD,AMD,A,CPU復権波及,347.81,USD,13.91,55.64,70.69,38.4,259.87,347.81,0.0,97.4,2.08,250.85,221.57,206.6,75.38,330.42,307.29,379.98,発表済,2026-04-25 09:00:21
GOOGL,アルファベット,A,出遅れMag7,344.4,USD,1.63,9.36,22.6,3.42,113.38,344.4,0.0,82.3,1.02,317.42,309.49,276.28,28.66,327.18,304.28,376.26,発表済,2026-04-25 09:00:21
MSFT,マイクロソフト,A,Azure加速,424.62,USD,2.13,-10.01,16.03,-9.5,9.19,539.83,-21.34,75.0,0.81,391.97,393.98,468.66,0.86,403.39,375.15,463.9,発表済,2026-04-25 09:00:21
AAPL,アップル,A,出遅れ+CEO交代,271.06,USD,-0.87,0.11,7.18,6.23,30.08,285.92,-5.2,62.0,0.9,261.4,260.15,253.34,8.67,257.51,239.48,296.13,発表済,2026-04-25 09:00:21
PLTR,パランティア,A,高値-32%成長,143.09,USD,1.07,-14.76,-3.03,-14.56,26.88,207.18,-30.93,46.1,0.74,142.38,144.35,164.43,-7.03,135.94,126.42,156.33,発表済,2026-04-25 09:00:21
AXON,アクソン,A,AI警察高値-30%,397.12,USD,1.14,-29.52,-11.84,-34.37,-34.23,870.97,-54.4,46.0,0.71,396.05,456.95,609.42,-27.38,377.26,350.86,433.85,発表済,2026-04-25 09:00:21
CRM,セールスフォース,A,年初来-30%転換,178.16,USD,2.8,-29.58,-3.79,-22.14,-32.99,288.99,-38.35,45.3,0.77,180.03,186.87,229.67,-17.43,169.25,157.4,194.64,-,2026-04-25 09:00:21
QCOM,クアルコム,A,Auto半導体出遅れ,148.85,USD,11.12,-13.4,14.03,-3.05,2.54,185.53,-19.77,83.4,2.72,131.5,134.31,155.11,2.66,141.41,131.51,162.62,発表済,2026-04-25 09:00:21
UBER,ウーバー,A,高値-25%転換,74.64,USD,-0.08,-9.92,5.8,-8.95,-4.0,100.1,-25.43,58.5,0.93,73.45,73.64,85.66,-4.99,70.91,65.94,81.54,発表済,2026-04-25 09:00:21
NVO,ノボノルディスク,A,過去1年-30%割安,41.17,USD,6.88,-18.53,17.25,-33.29,-30.48,77.31,-46.75,73.3,1.49,38.23,38.5,49.0,-10.1,39.11,36.37,44.98,-,2026-04-25 09:00:21
VRT,バーティブ,A,好決算後逆行安,323.46,USD,0.53,84.24,28.15,78.52,272.47,323.46,0.0,77.9,0.95,286.58,268.0,187.08,77.4,307.29,285.78,353.38,-,2026-04-25 09:00:21
ISRG,インテュイティブ,A,手術ロボ転換,482.22,USD,0.71,-14.19,2.92,-8.81,-6.29,592.85,-18.66,62.5,1.21,461.98,478.01,501.52,-4.61,458.11,426.04,526.83,-,2026-04-25 09:00:21
LLY,イーライリリー,A,GLP-1構造成長,883.96,USD,-3.67,-18.04,-1.45,-16.68,0.67,1108.09,-20.23,38.2,1.51,920.75,960.96,906.75,-3.92,839.76,780.98,965.73,-,2026-04-25 09:00:21
PANW,パロアルト,A,サイバー出遅れ,178.54,USD,3.08,-0.46,14.19,-3.08,-0.25,221.38,-19.35,61.8,0.72,165.72,161.63,185.28,1.33,169.61,157.74,195.05,発表済,2026-04-25 09:00:21
VST,ビストラ,A,AI電力出遅れ,164.35,USD,4.78,-0.4,7.91,3.63,30.44,217.32,-24.37,65.1,0.86,156.64,161.11,178.31,4.52,156.13,145.2,179.55,-,2026-04-25 09:00:21
AMZN,アマゾン,B,AWS+25%,263.99,USD,3.49,16.55,27.2,10.72,39.68,263.99,0.0,94.6,1.15,232.95,218.64,226.4,21.95,245.51,228.32,274.97,発表済,2026-04-25 09:00:21
MRVL,マーベル,B,AVGO出遅れ版,164.31,USD,-0.76,84.04,68.3,101.04,179.62,165.56,-0.76,95.7,1.22,126.8,101.73,86.15,95.34,152.81,142.11,171.15,発表済,2026-04-25 09:00:21
ALAB,アステララボ,B,AI配管独占,212.84,USD,7.75,18.53,87.35,30.38,221.95,251.88,-15.5,98.7,1.16,150.67,134.07,160.3,72.26,197.94,184.09,221.69,発表済,2026-04-25 09:00:21
CRDO,クレドテクノロジー,B,AI光DSP,195.04,USD,5.12,36.18,102.24,52.35,346.52,195.04,0.0,87.4,0.88,136.55,122.56,134.99,97.09,181.39,168.69,203.15,-,2026-04-25 09:00:21
TXN,テキサスインスツ,C,アナログ転換確認,277.14,USD,-1.8,57.14,43.29,41.89,75.54,282.23,-1.8,91.1,1.9,218.36,209.65,190.05,50.13,249.43,231.97,274.37,-,2026-04-25 09:00:21
