ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma20,ma50,ma200,score,name
4971.T,JP,JPY,9230.0,11.07,78.19,31.86,62.79,126.76,321.36,9230.0,2190.52,0.0,77.7,2.0,7747.5,7276.6,4896.66,105,4971.T
9941.T,JP,JPY,1649.0,22.24,171.66,93.77,143.22,124.97,72.85,1649.0,603.0,0.0,77.5,4.18,1094.45,909.9,832.3,105,9941.T
4062.T,JP,JPY,12540.0,12.62,75.4,51.83,51.56,146.06,566.88,12540.0,1880.4,0.0,79.0,1.77,9423.25,8876.16,6134.6,103,4062.T
9519.T,JP,JPY,1059.0,7.19,60.7,32.21,45.47,14.98,64.44,1079.0,623.0,-1.85,65.2,1.32,963.05,831.48,797.55,100,9519.T
SNDK,US,USD,989.9000244140625,6.16,259.65,64.12,110.26,492.58,2913.39,989.9,32.11,0.0,74.4,0.7,824.24,715.87,327.0,100,SNDK
485A.T,JP,JPY,7740.0,8.56,191.97,82.12,249.12,0.0,441.26,7740.0,1430.0,0.0,64.0,0.93,6467.0,5132.94,0.0,98,485A.T
7256.T,JP,JPY,455.0,21.33,234.56,66.67,199.34,373.96,411.24,455.0,80.0,0.0,83.9,10.45,286.55,284.82,159.51,98,7256.T
5803.T,JP,JPY,6037.0,2.44,97.24,31.67,103.18,111.57,655.81,6037.0,798.74,0.0,71.0,0.74,5240.8,4597.69,3040.72,98,5803.T
6085.T,JP,JPY,516.0,17.01,1685.47,74.03,1279.68,1847.17,2831.82,516.0,16.3,0.0,83.5,2.73,325.6,274.33,92.29,98,6085.T
ARM,US,USD,234.80999755859375,14.76,104.66,51.69,104.66,40.94,107.17,234.81,104.55,0.0,92.4,2.42,163.53,141.65,139.79,98,ARM
6232.T,JP,JPY,2538.0,12.25,177.07,65.02,129.06,115.08,154.31,2538.0,846.0,0.0,83.8,6.06,1722.55,1548.36,1211.74,98,6232.T
INTC,US,USD,82.54000091552734,23.6,109.6,87.17,94.26,116.3,311.67,82.54,19.31,0.0,87.7,2.32,59.55,51.03,38.45,98,INTC
6492.T,JP,JPY,18200.0,13.75,121.67,63.67,145.83,98.97,292.43,18200.0,4366.16,0.0,84.4,4.23,12366.5,11448.61,8830.75,98,6492.T
3891.T,JP,JPY,5150.0,15.86,55.17,39.95,43.61,134.29,227.74,5150.0,1571.39,0.0,80.2,3.21,4134.0,4009.59,2875.38,98,3891.T
1407.T,JP,JPY,2548.0,8.15,65.23,48.48,58.2,51.75,71.1,2548.0,1306.09,0.0,82.0,1.57,2028.6,1836.25,1632.04,96,1407.T
6336.T,JP,JPY,1181.0,4.42,60.68,32.25,54.21,82.47,130.58,1181.0,512.18,0.0,99.3,3.07,990.45,934.08,737.21,96,6336.T
7220.T,JP,JPY,4800.0,5.38,86.13,63.54,72.55,53.16,112.52,4800.0,2216.67,0.0,92.5,1.85,3256.25,2917.63,3032.68,96,7220.T
CIEN,US,USD,520.7999877929688,0.96,111.66,34.23,124.26,201.77,689.81,520.8,65.94,0.0,74.1,0.53,467.39,396.29,226.52,95,CIEN
6707.T,JP,JPY,9706.0,6.69,63.95,30.02,39.51,34.17,55.99,9706.0,4972.0,0.0,74.9,1.45,8463.8,7835.94,7385.69,95,6707.T
285A.T,JP,JPY,34580.0,-2.26,204.67,70.6,99.48,383.64,1807.34,35380.0,1813.0,-2.26,73.3,0.68,28322.25,24069.9,11948.83,95,285A.T
4022.T,JP,JPY,2059.0,20.06,69.91,29.76,43.3,100.24,292.1,2080.21,519.29,-1.02,68.1,2.71,1713.4,1770.34,1220.85,95,4022.T
4970.T,JP,JPY,13660.0,3.48,85.22,39.96,65.92,103.69,210.98,13660.0,4392.62,0.0,83.2,1.66,11674.0,10996.83,7515.1,94,4970.T
AMD,US,USD,347.80999755859375,13.91,55.64,70.69,38.4,48.01,259.87,347.81,96.06,0.0,97.4,2.08,250.85,221.57,206.6,93,AMD
429A.T,JP,JPY,3980.0,8.74,31.87,45.95,32.95,11.28,20.17,3980.0,2695.64,0.0,71.1,1.16,3469.95,3184.43,0.0,93,429A.T
6997.T,JP,JPY,2295.0,2.32,54.82,60.04,48.22,50.42,147.03,2450.0,929.04,-6.33,79.5,1.38,1863.8,1699.2,1468.63,92,6997.T
2371.T,JP,JPY,2750.0,4.92,22.19,38.92,23.93,8.14,13.06,2881.74,1552.89,-4.57,70.9,5.21,2188.25,1940.31,2330.09,92,2371.T
MPWR,US,USD,1632.06005859375,2.51,74.66,54.53,53.1,52.98,181.72,1632.06,579.32,0.0,95.0,1.22,1323.99,1197.37,991.63,91,MPWR
TER,US,USD,418.0799865722656,4.26,101.51,40.61,80.48,188.59,444.13,418.08,73.51,0.0,91.6,1.18,351.15,325.49,202.79,91,TER
TXN,US,USD,277.1400146484375,-1.8,57.14,43.29,41.89,63.45,75.54,282.23,152.34,-1.8,91.1,1.9,218.36,209.65,190.05,91,TXN
3449.T,JP,JPY,4350.0,2.11,101.76,67.05,86.06,169.94,302.54,4350.0,1080.63,0.0,97.5,0.81,3150.0,2769.36,1991.84,91,3449.T
6800.T,JP,JPY,4635.0,1.76,108.93,51.32,104.36,208.64,305.17,4690.0,1143.97,-1.17,85.5,1.97,3826.15,3389.53,2176.77,91,6800.T
6981.T,JP,JPY,4936.0,2.56,49.43,32.87,49.34,70.2,134.92,4936.0,1894.56,0.0,81.9,0.97,4211.45,3891.9,3078.09,91,6981.T
7376.T,JP,JPY,993.0,3.65,56.79,52.3,56.38,41.86,60.68,993.0,556.67,0.0,83.6,1.23,753.65,687.32,657.23,91,7376.T
6976.T,JP,JPY,6508.0,4.83,79.14,59.51,83.74,77.83,214.09,6508.0,2071.99,0.0,85.6,1.3,5183.45,4638.77,3588.7,91,6976.T
6516.T,JP,JPY,5640.0,8.67,34.75,26.36,30.87,61.31,91.18,5640.0,2950.05,0.0,77.8,3.52,4933.0,4804.04,3923.9,90,6516.T
FIX,US,USD,1726.1199951171875,-2.69,72.08,27.05,53.17,109.46,335.55,1773.91,393.29,-2.69,78.8,2.12,1558.93,1461.01,1018.71,90,FIX
1434.T,JP,JPY,2380.0,5.82,59.84,31.56,18.17,99.33,194.12,2380.0,803.41,0.0,77.6,1.0,2027.4,1994.34,1483.01,90,1434.T
6264.T,JP,JPY,1985.0,9.49,69.43,28.69,45.42,103.56,263.03,1985.0,546.79,0.0,71.7,1.31,1695.55,1703.58,1140.16,90,6264.T
8289.T,JP,JPY,1069.0,0.0,139.69,140.22,128.91,167.25,162.65,1128.0,386.0,-5.23,79.5,0.08,931.9,640.5,475.23,89,8289.T
6327.T,JP,JPY,2100.0,0.14,132.56,30.92,108.13,164.15,252.75,2194.0,591.4,-4.28,72.9,0.43,1857.7,1704.12,1040.25,89,6327.T
6961.T,JP,JPY,16860.0,1.57,78.49,34.4,76.99,168.58,334.47,17590.0,3628.51,-4.15,74.7,0.68,14803.0,14533.51,8988.67,89,6961.T
4691.T,JP,JPY,2096.0,-1.96,54.29,52.33,60.61,39.97,72.83,2204.0,1143.75,-4.9,76.2,0.36,1805.45,1576.12,1430.61,89,4691.T
6668.T,JP,JPY,2614.0,0.19,105.12,43.78,78.16,104.32,137.96,2804.0,1098.49,-6.78,76.6,0.66,2179.6,2019.32,1510.26,89,6668.T
6777.T,JP,JPY,28700.0,-7.27,215.79,56.19,183.84,238.75,632.84,30950.0,3916.28,-7.27,77.5,1.67,23206.0,21548.36,11645.79,89,6777.T
STX,US,USD,586.25,-0.23,104.24,54.77,63.91,160.07,618.02,587.62,80.56,-0.23,87.1,0.77,495.41,437.54,292.61,88,STX
GLW,US,USD,175.88999938964844,3.77,94.35,29.98,85.59,105.99,304.12,175.89,43.45,0.0,78.8,0.92,159.22,146.1,97.31,88,GLW
6857.T,JP,JPY,29440.0,5.52,39.03,33.39,25.12,68.13,414.46,29440.0,5698.56,0.0,82.3,1.44,25053.75,25102.7,18938.17,88,6857.T
GEV,US,USD,1149.18994140625,-0.03,69.34,31.62,72.66,93.35,209.25,1149.53,369.25,-0.03,91.5,1.32,969.68,896.21,694.65,88,GEV
LITE,US,USD,881.6400146484375,4.1,128.34,28.0,165.19,423.23,1369.4,897.3,59.04,-1.75,62.7,0.7,829.74,734.9,359.57,88,LITE
6235.T,JP,JPY,3925.0,-0.25,104.75,40.28,86.46,131.67,194.31,3935.0,1333.65,-0.25,81.4,1.26,3246.25,3004.42,2050.32,88,6235.T
5915.T,JP,JPY,2835.0,-0.74,48.48,42.61,44.46,59.65,90.1,2856.0,1474.93,-0.74,89.6,1.26,2373.15,2179.03,1840.04,88,5915.T
6387.T,JP,JPY,10860.0,-1.63,137.9,27.76,121.41,173.55,395.96,11040.0,2189.67,-1.63,73.9,1.63,9347.0,7725.6,4730.1,88,6387.T
WDC,US,USD,404.0,0.22,115.34,47.8,67.82,221.76,894.96,404.0,40.45,0.0,95.1,0.78,339.81,304.24,182.22,88,WDC
KLAC,US,USD,1935.0,6.59,52.03,33.34,25.57,67.45,180.69,1935.0,671.22,0.0,85.5,1.38,1677.65,1557.13,1236.71,88,KLAC
5706.T,JP,JPY,38660.0,4.97,108.84,24.19,78.01,173.38,934.43,38660.0,3737.32,0.0,65.2,0.86,34561.75,32701.11,18455.05,88,5706.T
5074.T,JP,JPY,712.0,-2.06,99.44,22.76,83.51,87.37,128.97,727.0,295.21,-2.06,61.2,1.63,636.15,605.64,430.74,88,5074.T
4490.T,JP,JPY,755.0,15.27,61.67,48.62,22.76,22.17,-10.65,845.0,446.0,-10.65,77.5,3.32,583.85,555.9,615.95,88,4490.T
MRVL,US,USD,164.30999755859375,-0.76,84.04,68.3,101.04,98.76,179.62,165.56,56.16,-0.76,95.7,1.22,126.8,101.73,86.15,88,MRVL
278A.T,JP,JPY,7840.0,-5.08,270.86,91.22,194.4,126.26,6.38,8260.0,2023.0,-5.08,75.8,1.21,5528.5,3876.94,3607.16,86,278A.T
ANET,US,USD,176.91000366210938,2.53,32.42,44.36,23.09,15.81,127.07,177.73,77.91,-0.46,91.5,0.85,148.12,139.68,136.0,86,ANET
MU,US,USD,496.7200012207031,3.11,57.55,39.8,27.72,140.5,524.1,496.72,76.7,0.0,85.2,0.78,418.97,414.7,266.83,86,MU
6999.T,JP,JPY,2011.0,-0.74,46.51,30.84,35.19,64.82,154.82,2060.0,786.24,-2.38,82.4,1.69,1771.25,1733.95,1345.51,86,6999.T
6723.T,JP,JPY,3141.0,-4.82,41.17,33.4,24.97,65.96,90.55,3300.0,1640.97,-4.82,77.0,2.49,2641.15,2664.33,2138.54,86,6723.T
3444.T,JP,JPY,1500.0,-10.87,108.04,104.92,48.22,373.19,447.03,1683.0,259.0,-10.87,75.8,3.37,972.6,865.08,576.5,85,3444.T
255A.T,JP,JPY,5100.0,3.55,70.48,58.93,54.51,77.48,89.19,5340.0,2617.46,-4.49,81.6,1.03,4007.75,3718.04,3159.02,85,255A.T
6524.T,JP,JPY,5020.0,2.45,61.94,20.96,62.99,51.71,191.31,5190.0,1723.24,-3.28,72.8,1.58,4539.0,4496.2,3398.74,85,6524.T
4371.T,JP,JPY,1422.0,1.79,16.08,42.48,12.5,47.85,41.2,1422.0,898.8,0.0,78.0,0.55,1091.85,1066.86,1106.18,85,4371.T
DELL,US,USD,216.08999633789062,1.86,70.35,23.28,86.97,41.16,131.19,216.09,90.39,0.0,74.5,0.64,186.59,160.15,138.7,85,DELL
VRT,US,USD,323.4599914550781,0.53,84.24,28.15,78.52,76.67,272.47,323.46,85.27,0.0,77.9,0.95,286.58,268.0,187.08,85,VRT
4422.T,JP,JPY,1248.0,-12.97,622.78,156.79,241.92,647.31,595.91,1434.0,156.0,-12.97,67.6,2.52,920.6,602.28,309.6,85,4422.T
4886.T,JP,JPY,2992.0,5.13,47.05,27.81,37.25,42.22,32.93,2992.0,1906.2,0.0,69.5,0.93,2724.45,2484.02,2273.46,85,4886.T
3110.T,JP,JPY,27380.0,7.16,162.57,27.86,61.05,247.98,647.22,29440.0,3664.25,-7.0,68.0,1.1,24623.5,23167.4,12818.55,84,3110.T
MCHP,US,USD,89.44000244140625,-1.32,38.35,39.31,20.29,39.47,96.45,90.64,44.59,-1.32,95.1,1.23,73.4,71.22,66.92,83,MCHP
5801.T,JP,JPY,42950.0,0.99,309.62,39.77,253.74,357.64,915.85,46880.0,4227.99,-8.38,62.7,0.35,40580.25,32461.9,15337.69,83,5801.T
205A.T,JP,JPY,2030.0,2.47,11.72,23.03,21.05,31.56,130.08,2041.0,882.3,-0.54,73.6,0.88,1790.85,1697.98,1562.65,83,205A.T
6920.T,JP,JPY,45060.0,3.82,42.1,28.85,23.49,108.23,267.33,45060.0,12266.91,0.0,67.0,0.94,39820.0,35989.4,26858.68,83,6920.T
LRCX,US,USD,267.7799987792969,3.57,44.87,26.54,20.29,82.01,277.68,272.41,70.38,-1.7,73.0,1.34,246.31,235.17,170.08,83,LRCX
3271.T,JP,JPY,1276.0,-0.08,36.47,48.03,38.24,26.59,32.7,1277.0,830.0,-0.08,98.9,0.8,1195.95,1032.18,1016.9,83,3271.T
STLD,US,USD,226.7899932861328,0.77,29.21,30.43,31.26,51.38,80.51,227.46,120.2,-0.29,93.5,0.9,194.82,187.87,160.37,83,STLD
AVGO,US,USD,422.760009765625,0.67,21.87,36.63,30.41,23.28,121.61,422.76,189.63,0.0,92.5,0.98,364.33,341.0,335.6,83,AVGO
6779.T,JP,JPY,1815.0,-2.21,81.64,42.46,78.29,56.42,153.87,2032.0,674.08,-10.68,69.9,1.18,1544.35,1363.82,1047.11,83,6779.T
6996.T,JP,JPY,2323.0,9.58,41.56,26.04,34.73,56.8,109.38,2323.0,1097.72,0.0,84.7,2.49,1999.5,1975.87,1579.45,83,6996.T
6666.T,JP,JPY,1040.0,-2.71,139.05,40.73,130.12,139.05,182.95,1160.0,357.73,-10.34,72.0,0.73,853.9,731.78,517.54,83,6666.T
COHR,US,USD,336.0899963378906,-0.47,72.95,38.14,69.95,176.57,421.15,350.47,64.32,-4.1,82.0,0.93,295.36,269.21,172.96,82,COHR
6866.T,JP,JPY,10460.0,1.26,73.18,39.1,54.96,76.31,89.82,10820.0,5194.98,-3.33,84.0,0.62,8612.0,7909.4,6418.15,82,6866.T
6941.T,JP,JPY,10450.0,2.05,79.85,28.96,70.57,177.2,459.07,10860.0,1869.18,-3.78,76.5,0.69,9268.0,8828.1,5500.67,82,6941.T
5337.T,JP,JPY,870.0,-0.68,71.6,46.71,62.01,62.31,94.2,931.0,448.0,-6.55,82.4,0.82,676.45,653.24,642.99,82,5337.T
6768.T,JP,JPY,784.0,3.43,29.5,22.69,25.6,52.36,78.17,784.0,425.37,0.0,87.0,2.3,695.0,686.17,577.19,81,6768.T
7112.T,JP,JPY,936.0,5.05,56.52,25.47,30.91,50.0,105.71,936.0,423.0,0.0,84.0,1.55,828.15,772.84,631.36,81,7112.T
3294.T,JP,JPY,4840.0,0.0,146.94,138.07,132.58,137.14,255.5,4845.0,1361.46,-0.1,50.0,1.34,4321.15,3013.08,2102.06,80,3294.T
5659.T,JP,JPY,1529.0,-0.39,29.77,23.71,25.09,38.16,33.05,1535.0,1004.32,-0.39,72.3,0.68,1415.35,1321.29,1162.48,80,5659.T
186A.T,JP,JPY,1323.0,-6.1,91.46,33.77,40.45,44.43,82.99,1454.0,584.0,-9.01,68.9,0.74,1229.1,1108.2,834.5,80,186A.T
ON,US,USD,98.4000015258789,0.63,73.54,61.66,60.97,90.03,148.3,98.4,38.41,0.0,50.0,1.3,73.46,67.72,57.19,80,ON
WST,US,USD,306.1600036621094,-1.14,10.87,23.39,26.94,-0.18,43.2,309.7,204.84,-1.14,78.9,1.07,266.24,252.85,257.18,80,WST
2737.T,JP,JPY,14620.0,19.06,13.35,22.14,4.58,108.17,206.51,14620.0,4769.82,0.0,72.5,9.15,12228.0,12273.56,9503.44,80,2737.T
JBHT,US,USD,248.58999633789062,-2.02,26.58,20.57,21.44,49.78,93.73,253.71,128.32,-2.02,75.4,0.66,228.97,221.1,180.71,80,JBHT
3560.T,JP,JPY,4300.0,0.23,24.46,24.64,21.99,28.94,41.25,4395.0,2951.75,-2.16,72.0,0.11,3911.25,3683.6,3365.86,80,3560.T
4061.T,JP,JPY,4084.0,8.33,50.74,15.24,33.77,81.61,120.03,4084.0,1811.23,0.0,62.3,2.45,3742.05,3477.12,2665.26,80,4061.T
