ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma5,ma10,ma20,ma50,ma200,score,name
4971.T,JP,JPY,9230.0,11.07,78.19,31.86,62.79,126.76,321.36,9230.0,2190.52,0.0,77.7,2.0,8646.0,8465.0,7747.5,7276.6,4896.66,105,MEC COMPANY LTD
4062.T,JP,JPY,12540.0,12.62,75.4,51.83,51.56,146.06,566.88,12540.0,1880.4,0.0,79.0,1.77,11002.0,10249.8,9423.25,8876.16,6134.6,103,IBIDEN CO LTD
SNDK,US,USD,989.9000244140625,6.16,259.65,64.12,110.26,492.58,2913.39,989.9,32.11,0.0,74.4,0.7,943.58,934.7,824.24,715.87,327.0,100,Sandisk Corporation
9519.T,JP,JPY,1059.0,7.19,60.7,32.21,45.47,14.98,64.44,1079.0,623.0,-1.85,65.2,1.32,1001.8,1019.5,963.05,831.48,797.55,100,RENOVA INC
5803.T,JP,JPY,6037.0,2.44,97.24,31.67,103.18,111.57,655.81,6037.0,798.74,0.0,71.0,0.74,5866.6,5836.2,5240.8,4597.69,3040.72,98,FUJIKURA
INTC,US,USD,82.54000091552734,23.6,109.6,87.17,94.26,116.3,311.67,82.54,19.31,0.0,87.7,2.32,69.31,67.75,59.55,51.03,38.45,98,Intel Corporation
ARM,US,USD,234.80999755859375,14.76,104.66,51.69,104.66,40.94,107.17,234.81,104.55,0.0,92.4,2.42,197.32,179.38,163.53,141.65,139.79,98,Arm Holdings plc
7220.T,JP,JPY,4800.0,5.38,86.13,63.54,72.55,53.16,112.52,4800.0,2216.67,0.0,92.5,1.85,4193.0,3666.5,3256.25,2917.63,3032.68,96,MUSASHI SEIMITSU IND
CIEN,US,USD,520.7999877929688,0.96,111.66,34.23,124.26,201.77,689.81,520.8,65.94,0.0,74.1,0.53,508.96,497.03,467.39,396.29,226.52,95,Ciena Corporation
4022.T,JP,JPY,2059.0,20.06,69.91,29.76,43.3,100.24,292.1,2080.21,519.29,-1.02,68.1,2.71,1815.0,1816.7,1713.4,1770.34,1220.85,95,RASA INDUSTRIES
6707.T,JP,JPY,9706.0,6.69,63.95,30.02,39.51,34.17,55.99,9706.0,4972.0,0.0,74.9,1.45,9085.6,8773.9,8463.8,7835.94,7385.69,95,SANKEN ELECTRIC CO
429A.T,JP,JPY,3980.0,8.74,31.87,45.95,32.95,11.28,20.17,3980.0,2695.64,0.0,71.1,1.16,3799.0,3749.0,3469.95,3184.43,0.0,93,TEKSCEND PHOTOMASK CORP.
AMD,US,USD,347.80999755859375,13.91,55.64,70.69,38.4,48.01,259.87,347.81,96.06,0.0,97.4,2.08,303.21,283.27,250.85,221.57,206.6,93,"Advanced Micro Devices, Inc."
6997.T,JP,JPY,2295.0,2.32,54.82,60.04,48.22,50.42,147.03,2450.0,929.04,-6.33,79.5,1.38,2345.2,2199.3,1863.8,1699.2,1468.63,92,NIPPON CHEMI-CON CORP
2371.T,JP,JPY,2750.0,4.92,22.19,38.92,23.93,8.14,13.06,2881.74,1552.89,-4.57,70.9,5.21,2349.2,2231.6,2188.25,1940.31,2330.09,92,KAKAKU.COM. INC
6976.T,JP,JPY,6508.0,4.83,79.14,59.51,83.74,77.83,214.09,6508.0,2071.99,0.0,85.6,1.3,6254.8,5991.4,5183.45,4638.77,3588.7,91,TAIYO YUDEN CO LTD
TER,US,USD,418.0799865722656,4.26,101.51,40.61,80.48,188.59,444.13,418.08,73.51,0.0,91.6,1.18,391.88,380.63,351.15,325.49,202.79,91,"Teradyne, Inc."
MPWR,US,USD,1632.06005859375,2.51,74.66,54.53,53.1,52.98,181.72,1632.06,579.32,0.0,95.0,1.22,1553.02,1472.49,1323.99,1197.37,991.63,91,"Monolithic Power Systems, Inc."
6981.T,JP,JPY,4936.0,2.56,49.43,32.87,49.34,70.2,134.92,4936.0,1894.56,0.0,81.9,0.97,4841.6,4661.9,4211.45,3891.9,3078.09,91,MURATA MANUFACTURING CO
TXN,US,USD,277.1400146484375,-1.8,57.14,43.29,41.89,63.45,75.54,282.23,152.34,-1.8,91.1,1.9,252.51,236.73,218.36,209.65,190.05,91,Texas Instruments Incorporated
6800.T,JP,JPY,4635.0,1.76,108.93,51.32,104.36,208.64,305.17,4690.0,1143.97,-1.17,85.5,1.97,4640.0,4327.0,3826.15,3389.53,2176.77,91,YOKOWO CO LTD
FIX,US,USD,1726.1199951171875,-2.69,72.08,27.05,53.17,109.46,335.55,1773.91,393.29,-2.69,78.8,2.12,1715.75,1676.25,1558.93,1461.01,1018.71,90,"Comfort Systems USA, Inc."
6516.T,JP,JPY,5640.0,8.67,34.75,26.36,30.87,61.31,91.18,5640.0,2950.05,0.0,77.8,3.52,5314.0,5233.0,4933.0,4804.04,3923.9,90,SANYO DENKI CO
6264.T,JP,JPY,1985.0,9.49,69.43,28.69,45.42,103.56,263.03,1985.0,546.79,0.0,71.7,1.31,1805.0,1826.0,1695.55,1703.58,1140.16,90,MARUMAE CO.LTD
6961.T,JP,JPY,16860.0,1.57,78.49,34.4,76.99,168.58,334.47,17590.0,3628.51,-4.15,74.7,0.68,17042.0,16612.0,14803.0,14533.51,8988.67,89,ENPLAS CORP
GEV,US,USD,1149.18994140625,-0.03,69.34,31.62,72.66,93.35,209.25,1149.53,369.25,-0.03,91.5,1.32,1081.55,1035.34,969.68,896.21,694.65,88,GE Vernova Inc.
GLW,US,USD,175.88999938964844,3.77,94.35,29.98,85.59,105.99,304.12,175.89,43.45,0.0,78.8,0.92,169.0,169.17,159.22,146.1,97.31,88,Corning Incorporated
WDC,US,USD,404.0,0.22,115.34,47.8,67.82,221.76,894.96,404.0,40.45,0.0,95.1,0.78,390.83,376.97,339.81,304.24,182.22,88,Western Digital Corporation
MRVL,US,USD,164.30999755859375,-0.76,84.04,68.3,101.04,98.76,179.62,165.56,56.16,-0.76,95.7,1.22,157.27,145.91,126.8,101.73,86.15,88,"Marvell Technology, Inc."
STX,US,USD,586.25,-0.23,104.24,54.77,63.91,160.07,618.02,587.62,80.56,-0.23,87.1,0.77,570.68,549.93,495.41,437.54,292.61,88,Seagate Technology Holdings PLC
6235.T,JP,JPY,3925.0,-0.25,104.75,40.28,86.46,131.67,194.31,3935.0,1333.65,-0.25,81.4,1.26,3710.0,3642.5,3246.25,3004.42,2050.32,88,OPTORUN CO LTD
6387.T,JP,JPY,10860.0,-1.63,137.9,27.76,121.41,173.55,395.96,11040.0,2189.67,-1.63,73.9,1.63,10264.0,10077.0,9347.0,7725.6,4730.1,88,SAMCO INC
LITE,US,USD,881.6400146484375,4.1,128.34,28.0,165.19,423.23,1369.4,897.3,59.04,-1.75,62.7,0.7,866.83,866.74,829.74,734.9,359.57,88,Lumentum Holdings Inc.
KLAC,US,USD,1935.0,6.59,52.03,33.34,25.57,67.45,180.69,1935.0,671.22,0.0,85.5,1.38,1830.64,1799.23,1677.65,1557.13,1236.71,88,KLA Corporation
5074.T,JP,JPY,712.0,-2.06,99.44,22.76,83.51,87.37,128.97,727.0,295.21,-2.06,61.2,1.63,698.6,663.9,636.15,605.64,430.74,88,TESS HOLDINGS CO LTD
6723.T,JP,JPY,3141.0,-4.82,41.17,33.4,24.97,65.96,90.55,3300.0,1640.97,-4.82,77.0,2.49,3117.1,2908.1,2641.15,2664.33,2138.54,86,RENESAS ELECTRONICS CORP
