Week,PF_Return,BM_Return,Top_US,Top_JP,PF_Cum,BM_Cum
2024-11-04,+27.29%,+4.75%,"APP, UAL, CVNA, MSTR, GEV, TPL, PLTR, NCLH, CCL, INSM","5803, 3046, 4902, 7013, 2726, 6590",127.3%,104.8%
2024-11-11,+1.97%,-2.08%,"APP, PLTR, MSTR, UAL, GEV, TPL, CVNA, LITE, TSLA, AXON","7013, 4902, 6857, 6814, 5803, 6507",129.8%,102.6%
2024-11-18,+9.90%,+1.67%,"APP, PLTR, MSTR, UAL, TPL, AXON, GEV, TSLA, CVNA, SHOP","7220, 5801, 7383, 4902, 7013, 5805",142.7%,104.3%
2024-11-25,-1.58%,+1.18%,"APP, MSTR, TPL, PLTR, UAL, AXON, CVNA, GEV, HOOD, VST","3696, 7220, 5801, 7383, 8219, 4784",140.4%,105.5%
2024-12-02,+9.81%,+0.87%,"APP, MSTR, PLTR, TPL, AXON, HOOD, UAL, CVNA, SHOP, TSLA","7220, 5801, 7383, 8219, 4784, 6787",154.2%,106.4%
2024-12-09,-6.61%,-0.59%,"APP, MSTR, PLTR, HOOD, AXON, UAL, COIN, VST, TSLA, SHOP","7220, 3696, 7383, 4784, 5801, 8219",144.0%,105.8%
2024-12-16,-0.91%,-2.16%,"APP, MSTR, PLTR, TSLA, CVNA, HOOD, CIEN, AXON, UAL, MRVL","3696, 7220, 3662, 4784, 7383, 5801",142.7%,103.5%
2024-12-23,+2.08%,+0.99%,"APP, PLTR, MSTR, TSLA, UAL, AXON, CIEN, HOOD, MRVL, TPR","3696, 7220, 4784, 7383, 3662, 5801",145.7%,104.5%
2024-12-30,-0.58%,-0.51%,"APP, PLTR, TSLA, MSTR, UAL, AVGO, MRVL, CIEN, AXON, HOOD","4784, 3696, 7220, 7383, 2432, 3662",144.8%,104.0%
2025-01-06,-10.98%,-1.94%,"APP, PLTR, MSTR, HOOD, UAL, TSLA, MRVL, GEV, TPR, AVGO","4784, 6135, 3696, 7220, 2432, 7383",128.9%,102.0%
2025-01-13,+6.26%,+2.94%,"APP, UAL, PLTR, GEV, MSTR, VST, TSLA, HOOD, TPR, MRVL","6135, 5535, 5801, 4784, 7220, 1975",137.0%,105.0%
2025-01-20,+2.88%,+1.74%,"APP, HOOD, MSTR, GEV, PLTR, TSLA, VST, UAL, MRVL, TPR","4784, 6135, 3696, 5535, 5801, 7220",140.9%,106.8%
2025-01-27,-1.21%,-1.01%,"APP, HOOD, VST, PLTR, GEV, CEG, IBKR, FIX, UAL, MSTR","4784, 5801, 6135, 5535, 5803, 3696",139.2%,105.7%
2025-02-03,+14.02%,-0.17%,"APP, HOOD, PLTR, UAL, AXON, VST, SHOP, MSTR, TPR, IBKR","5535, 4784, 5482, 5801, 6135, 6507",158.7%,105.6%
2025-02-10,+6.61%,+1.49%,"PLTR, APP, HOOD, TPR, UAL, IBKR, CVNA, MSTR, CRWD, WSM","5535, 4784, 5482, 3696, 6135, 4676",169.2%,107.1%
2025-02-17,-7.18%,-1.60%,"APP, PLTR, HOOD, SMCI, TPR, IBKR, CRWD, TKO, WSM, RL","5535, 4784, 4676, 2432, 7172, 5482",157.1%,105.4%
2025-02-24,-18.60%,-0.96%,"APP, PLTR, SMCI, HOOD, TPR, RL, GILD, SATS, UAL, FOXA","5535, 6324, 2432, 5482, 4784, 7172",127.8%,104.4%
2025-03-03,-8.45%,-3.07%,"APP, PLTR, TPR, HOOD, SATS, SMCI, GILD, RL, T, FOXA","4784, 2432, 6324, 7172, 7832, 5535",117.0%,101.2%
2025-03-10,+0.04%,-2.28%,"PLTR, GILD, APP, TPR, HOOD, CVS, VRSN, MSTR, TPL, YUM","4784, 7172, 5535, 5482, 6135, 6324",117.1%,98.9%
2025-03-17,+10.76%,+0.21%,"PLTR, GILD, TPL, VRSN, CVS, ETR, ABBV, MCK, EQT, AIG","5535, 4784, 7012, 5838, 5262, 6135",129.7%,99.1%
2025-03-24,-5.09%,-1.18%,"PLTR, CVS, EQT, HOOD, APP, MSTR, VRSN, MCK, TTWO, TPR","5535, 4784, 5838, 7172, 5482, 1515",123.1%,97.9%
2025-03-31,-13.54%,-9.07%,"PLTR, EQT, CVS, WRB, EXE, PM, VRSN, T, MSTR, COR","5535, 5838, 7172, 5262, 6572, 1515",106.4%,89.0%
2025-04-07,+10.95%,+5.67%,"MCK, COR, DG, PM, EXC, ORLY, ED, CVS, VRSN, CNP","4784, 5535, 4676, 3963, 3563, 9072",118.1%,94.1%
2025-04-14,+13.83%,-1.41%,"PLTR, HOOD, NEM, CVS, PM, COR, CASY, MCK, DG, TTWO","4784, 4676, 5535, 3963, 3475, 3034",134.4%,92.8%
2025-04-21,-1.52%,+4.60%,"PLTR, PM, DG, KR, NEM, MCK, CASY, DLTR, EXC, T","4784, 4676, 3034, 3475, 7453, 5535",132.3%,97.0%
2025-04-28,+4.37%,+2.93%,"PLTR, MSTR, HOOD, VRSN, PM, NFLX, CRWD, TTWO, DG, NEM","4784, 4676, 3034, 5535, 3475, 5482",138.1%,99.9%
2025-05-05,+1.98%,-0.43%,"PLTR, HOOD, MSTR, HWM, NFLX, VRSN, APP, NRG, CRWD, CVNA","4784, 7949, 4506, 6201, 3563, 2432",140.9%,99.5%
2025-05-12,+2.95%,+5.29%,"PLTR, MSTR, HOOD, HWM, VRSN, NFLX, MELI, MOS, NRG, DLTR","4784, 4506, 7949, 6201, 9932, 3563",145.0%,104.7%
2025-05-19,+3.68%,-2.54%,"NRG, SMCI, PLTR, HOOD, MOS, HWM, MCHP, APH, VRSN, GEV","4784, 7949, 3763, 7717, 5036, 9932",150.4%,102.1%
2025-05-26,-0.40%,+1.78%,"NRG, HOOD, GEV, PLTR, MOS, CVNA, HWM, AXON, STX, DG","4784, 3763, 7949, 6703, 3563, 6331",149.8%,103.9%
2025-06-02,-2.99%,+1.65%,"HOOD, NRG, PLTR, MOS, GEV, CVNA, ZS, AVGO, AXON, PODD","4784, 5535, 6331, 6703, 5838, 7013",145.3%,105.6%
